Aa en Hunze, 2015, 27888, 18751, Eelde, Eeldemm
Aalburg, 2015, 5317, 4335, DeBilt, DeBiltmm
Aalsmeer, 2015, 3229, 799, DeBilt, DeBiltmm
Aalten, 2015, 9705, 8063, DeKooy, DeKooymm
Achtkarspelen, 2015, 10398, 8554, Eelde, Eeldemm
Alblasserdam, 2015, 1006, 299, DeBilt, DeBiltmm
Albrandswaard, 2015, 2376, 1076, Vlissingen, Vlissingenmm
Alkmaar, 2015, 11735, 7829, DeBilt, DeBiltmm
Almelo, 2015, 6941, 3472, DeKooy, DeKooymm
Almere, 2015, 24877, 3241, DeBilt, DeBiltmm
Alphen aan den Rijn, 2015, 13250, 9223, DeBilt, DeBiltmm
Alphen-Chaam, 2015, 9352, 6552, Vlissingen, Vlissingenmm
Ameland, 2015, 26850, 1975, Eelde, Eeldemm
Amersfoort, 2015, 6386, 1945, DeBilt, DeBiltmm
Amstelveen, 2015, 4408, 1595, DeBilt, DeBiltmm
Amsterdam, 2015, 21949, 2711, DeBilt, DeBiltmm
Apeldoorn, 2015, 34115, 8323, DeKooy, DeKooymm
Appingedam, 2015, 2458, 1783, Eelde, Eeldemm
Arnhem, 2015, 10154, 1593, DeKooy, DeKooymm
Assen, 2015, 8345, 3874, Eelde, Eeldemm
Asten, 2015, 7134, 4598, DeKooy, DeKooymm
Baarle-Nassau, 2015, 7629, 6273, Vlissingen, Vlissingenmm
Baarn, 2015, 3301, 762, DeBilt, DeBiltmm
Barendrecht, 2015, 2173, 320, DeBilt, DeBiltmm
Barneveld, 2015, 17666, 9566, DeBilt, DeBiltmm
Bedum, 2015, 4496, 3896, Eelde, Eeldemm
Beek, 2015, 2103, 1284, Maastricht, Maastrichtmm
Beemster, 2015, 7207, 6478, DeBilt, DeBiltmm
Beesel, 2015, 2915, 1814, Maastricht, Maastrichtmm
Bellingwedde, 2015, 11009, 9561, Eelde, Eeldemm
Bergeijk, 2015, 10175, 6168, DeKooy, DeKooymm
Bergen (L), 2015, 10850, 5572, DeKooy, DeKooymm
Bergen (NH), 2015, 12023, 4170, DeBilt, DeBiltmm
Bergen op Zoom, 2015, 9313, 3312, Vlissingen, Vlissingenmm
Berkelland, 2015, 26053, 21313, DeKooy, DeKooymm
Bernheze, 2015, 9041, 6612, DeKooy, DeKooymm
Best, 2015, 3510, 1504, DeKooy, DeKooymm
Beuningen, 2015, 4709, 3052, DeKooy, DeKooymm
Beverwijk, 2015, 2009, 384, DeBilt, DeBiltmm
het Bildt, 2015, 11648, 8257, Eelde, Eeldemm
De Bilt, 2015, 6713, 3425, DeBilt, DeBiltmm
Binnenmaas, 2015, 7557, 5401, Vlissingen, Vlissingenmm
Bladel, 2015, 7562, 4246, DeKooy, DeKooymm
Blaricum, 2015, 1556, 329, DeBilt, DeBiltmm
Bloemendaal, 2015, 4523, 425, DeBilt, DeBiltmm
Bodegraven-Reeuwijk, 2015, 8864, 6294, DeBilt, DeBiltmm
Boekel, 2015, 3452, 2920, DeKooy, DeKooymm
Ten Boer, 2015, 4573, 4110, Eelde, Eeldemm
Borger-Odoorn, 2015, 27789, 21283, Eelde, Eeldemm
Borne, 2015, 2616, 1614, DeKooy, DeKooymm
Borsele, 2015, 19452, 11667, Vlissingen, Vlissingenmm
Boxmeer, 2015, 11384, 8089, DeKooy, DeKooymm
Boxtel, 2015, 6485, 3553, DeKooy, DeKooymm
Breda, 2015, 12868, 5620, Vlissingen, Vlissingenmm
Brielle, 2015, 3114, 1883, Vlissingen, Vlissingenmm
Bronckhorst, 2015, 28642, 22758, DeKooy, DeKooymm
Brummen, 2015, 8501, 5749, DeKooy, DeKooymm
Brunssum, 2015, 1734, 150, Maastricht, Maastrichtmm
Bunnik, 2015, 3757, 2852, DeBilt, DeBiltmm
Bunschoten, 2015, 3481, 2435, DeBilt, DeBiltmm
Buren, 2015, 14292, 11514, DeBilt, DeBiltmm
Bussum, 2015, 815, 41, DeBilt, DeBiltmm
Capelle aan den IJssel, 2015, 1540, 63, DeBilt, DeBiltmm
Castricum, 2015, 6040, 2319, DeBilt, DeBiltmm
Coevorden, 2015, 29969, 22950, Eelde, Eeldemm
Cranendonck, 2015, 7805, 3713, Maastricht, Maastrichtmm
Cromstrijen, 2015, 7033, 4599, Vlissingen, Vlissingenmm
Cuijk, 2015, 5707, 3685, DeKooy, DeKooymm
Culemborg, 2015, 3114, 1839, DeBilt, DeBiltmm
Dalfsen, 2015, 16652, 13430, Eelde, Eeldemm
Dantumadiel, 2015, 8753, 7049, Eelde, Eeldemm
Delft, 2015, 2406, 200, DeBilt, DeBiltmm
Delfzijl, 2015, 22750, 10392, Eelde, Eeldemm
Deurne, 2015, 11836, 7505, DeKooy, DeKooymm
Deventer, 2015, 13433, 8474, DeKooy, DeKooymm
Diemen, 2015, 1404, 212, DeBilt, DeBiltmm
Dinkelland, 2015, 17683, 14268, Eelde, Eeldemm
Doesburg, 2015, 1296, 737, DeKooy, DeKooymm
Doetinchem, 2015, 7966, 4968, DeKooy, DeKooymm
Dongen, 2015, 2974, 2013, Vlissingen, Vlissingenmm
Dongeradeel, 2015, 26692, 14011, Eelde, Eeldemm
Dordrecht, 2015, 9947, 2785, DeBilt, DeBiltmm
Drechterland, 2015, 8059, 5082, DeBilt, DeBiltmm
Drimmelen, 2015, 11943, 6747, Vlissingen, Vlissingenmm
Dronten, 2015, 42389, 26451, DeBilt, DeBiltmm
Druten, 2015, 4246, 2734, DeKooy, DeKooymm
Duiven, 2015, 3519, 2309, DeKooy, DeKooymm
Echt-Susteren, 2015, 10462, 7113, Maastricht, Maastrichtmm
Edam-Volendam, 2015, 2478, 942, DeBilt, DeBiltmm
Ede, 2015, 31862, 10976, DeBilt, DeBiltmm
Eemnes, 2015, 3370, 2546, DeBilt, DeBiltmm
Eemsmond, 2015, 54335, 15363, Eelde, Eeldemm
Eersel, 2015, 8333, 5047, DeKooy, DeKooymm
Eijsden-Margraten, 2015, 7841, 6096, Maastricht, Maastrichtmm
Eindhoven, 2015, 8887, 1258, DeKooy, DeKooymm
Elburg, 2015, 6591, 2963, Eelde, Eeldemm
Emmen, 2015, 34626, 23549, Eelde, Eeldemm
Enkhuizen, 2015, 11625, 677, DeBilt, DeBiltmm
Enschede, 2015, 14272, 6913, DeKooy, DeKooymm
Epe, 2015, 15737, 6837, DeKooy, DeKooymm
Ermelo, 2015, 8733, 2005, DeKooy, DeKooymm
Etten-Leur, 2015, 5592, 3829, Vlissingen, Vlissingenmm
Ferwerderadiel, 2015, 13318, 7963, Eelde, Eeldemm
Franekeradeel, 2015, 10917, 9166, Eelde, Eeldemm
De Fryske Marren, 2015, 54910, 29262, Eelde, Eeldemm
Geertruidenberg, 2015, 2964, 1574, Vlissingen, Vlissingenmm
Geldermalsen, 2015, 10173, 7786, DeBilt, DeBiltmm
Geldrop-Mierlo, 2015, 3139, 1040, DeKooy, DeKooymm
Gemert-Bakel, 2015, 12334, 7821, DeKooy, DeKooymm
Gennep, 2015, 5042, 3197, DeKooy, DeKooymm
Giessenlanden, 2015, 6511, 5684, DeBilt, DeBiltmm
Gilze en Rijen, 2015, 6566, 3694, Vlissingen, Vlissingenmm
Goeree-Overflakkee, 2015, 42235, 18285, Vlissingen, Vlissingenmm
Goes, 2015, 10192, 6893, Vlissingen, Vlissingenmm
Goirle, 2015, 4235, 2382, Vlissingen, Vlissingenmm
Gorinchem, 2015, 2193, 735, DeBilt, DeBiltmm
Gouda, 2015, 1811, 308, DeBilt, DeBiltmm
Grave, 2015, 2803, 2041, DeKooy, DeKooymm
's-Gravenhage, 2015, 9813, 164, DeBilt, DeBiltmm
Groesbeek, 2015, 9331, 4967, DeKooy, DeKooymm
Groningen, 2015, 8375, 2783, Eelde, Eeldemm
Grootegast, 2015, 8774, 7888, Eelde, Eeldemm
Gulpen-Wittem, 2015, 7336, 5859, Maastricht, Maastrichtmm
Haaksbergen, 2015, 10550, 7169, DeKooy, DeKooymm
Haaren, 2015, 5856, 4165, DeKooy, DeKooymm
Haarlem, 2015, 3209, 418, DeBilt, DeBiltmm
Haarlemmerliede en Spaarnwoude, 2015, 2119, 1148, DeBilt, DeBiltmm
Haarlemmermeer, 2015, 18513, 10479, DeBilt, DeBiltmm
Halderberge, 2015, 7521, 5789, Vlissingen, Vlissingenmm
Hardenberg, 2015, 31715, 25449, Eelde, Eeldemm
Harderwijk, 2015, 4827, 867. DeBilt, DeBiltmm
Hardinxveld-Giessendam, 2015, 1935, 1069, DeBilt, DeBiltmm
Haren, 2015, 5073, 2786, DeKooy, DeKooymm
Harlingen, 2015, 38767, 1676, Eelde, Eeldemm
Hattem, 2015, 2416, 1253, Eelde, Eeldemm
Heemskerk, 2015, 3168, 666, DeBilt, DeBiltmm
Heemstede, 2015, 964, 151, DeBilt, DeBiltmm
Heerde, 2015, 8042, 3909, Eelde, Eeldemm
Heerenveen, 2015, 19816, 14602, Eelde, Eeldemm
Heerhugowaard, 2015, 3999, 2111, DeBilt, DeBiltmm
Heerlen, 2015, 4553, 766, Maastricht, Maastrichtmm
Heeze-Leende, 2015, 10504, 4415, DeKooy, DeKooymm
Heiloo, 2015, 1901, 966, DeBilt, DeBiltmm
Den Helder, 2015, 17880, 1715, DeBilt, DeBiltmm
Hellendoorn, 2015, 13899, 8135, DeKooy, DeKooymm
Hellevoetsluis, 2015, 4627, 1817, DeBilt, DeBiltmm
Helmond, 2015, 5475, 1496, DeKooy, DeKooymm
Hendrik-Ido-Ambacht, 2015, 1190, 324, DeBilt, DeBiltmm
Hengelo (O), 2015, 6183, 2519, DeKooy, DeKooymm
's-Hertogenbosch, 2015, 11807, 5482, DeKooy, DeKooymm
Heumen, 2015, 4154, 2348, DeKooy, DeKooymm
Heusden, 2015, 8122, 4685, DeKooy, DeKooymm
Hillegom, 2015, 1347, 748, DeBilt, DeBiltmm
Hilvarenbeek, 2015, 9651, 5670, Vlissingen, Vlissingenmm
Hilversum, 2015, 4635, 595, DeBilt, DeBiltmm
Hof van Twente, 2015, 21541, 15676, DeKooy, DeKooymm
Hollands Kroon, 2015, 66220, 31591, DeBilt, DeBiltmm
Hoogeveen, 2015, 12925, 8801, Eelde, Eeldemm
Hoogezand-Sappemeer, 2015, 7299, 4288, Eelde, Eeldemm
Hoorn, 2015, 5346, 226, DeBilt, DeBiltmm
Horst aan de Maas, 2015, 19192, 13208, DeKooy, DeKooymm
Houten, 2015, 5899, 3886, DeBilt, DeBiltmm
Huizen, 2015, 2332, 109, DeBilt, DeBiltmm
Hulst, 2015, 25182, 15416, Vlissingen, Vlissingenmm
IJsselstein, 2015, 2168, 1349, DeBilt, DeBiltmm
Kaag en Braassem, 2015, 7224, 5440, DeBilt, DeBiltmm
Kampen, 2015, 16179, 11521, Eelde, Eeldemm
Kapelle, 2015, 4963, 2798, Vlissingen, Vlissingenmm
Katwijk, 2015, 3115, 664, DeBilt, DeBiltmm
Kerkrade, 2015, 2215, 398, Maastricht, Maastrichtmm
Koggenland, 2015, 8408, 6940, DeBilt, DeBiltmm
Kollumerland en Nieuwkruisland, 2015, 11635, 8568, Eelde, Eeldemm
Korendijk, 2015, 10047, 6052, DeKooy, DeKooymm
Krimpen aan den IJssel, 2015, 895, 42, DeBilt, DeBiltmm
Krimpenerwaard, 2015, 16131, 12906, DeBilt, DeBiltmm
