Onderwerpen, Totale oppervlakte, Agrarisch terrein
Regio's, Perioden, ha, ha
Nederland, 1996, 4152618, 2360382
Nederland, 2000, 4152803, 2326047
Nederland, 2003, 4152795, 2304074
Nederland, 2006, 4154307, 2285799
Nederland, 2008, 4154307, 2275827
Nederland, 2010, 4154307, 2264376
Nederland, 2012, 4154302, 2252233
Nederland, 2015, 4154303, 2236317
Zuid-Nederland (LD), 1996, 729114, 459816
Zuid-Nederland (LD), 2000, 729098, 452040
Zuid-Nederland (LD), 2003, 729098, 448175
Zuid-Nederland (LD), 2006, 729098, 444968
Zuid-Nederland (LD), 2008, 729101, 442773
Zuid-Nederland (LD), 2010, 729098, 439646
Zuid-Nederland (LD), 2012, 729156, 436574
Zuid-Nederland (LD), 2015, 729156, 433845
Utrecht (PV), 1996, 143424, 84453
Utrecht (PV), 2000, 143942, 83272
Utrecht (PV), 2003, 144912, 84175
Utrecht (PV), 2006, 144912, 82833
Utrecht (PV), 2008, 144912, 82233
Utrecht (PV), 2010, 144912, 81672
Utrecht (PV), 2012, 144913, 81186
Utrecht (PV), 2015, 144913, 80572
Zuidoost-Noord-Brabant (CR), 1996, 137118, 75854
Zuidoost-Noord-Brabant (CR), 2000, 145783, 79324
Zuidoost-Noord-Brabant (CR), 2003, 145783, 78899
Zuidoost-Noord-Brabant (CR), 2006, 145783, 78398
Zuidoost-Noord-Brabant (CR), 2008, 145781, 77941
Zuidoost-Noord-Brabant (CR), 2010, 145783, 77367
Zuidoost-Noord-Brabant (CR), 2012, 145766, 76771
Zuidoost-Noord-Brabant (CR), 2015, 145766, 76382
Aa en Hunze, 1996, NaN, NaN
Aa en Hunze, 2000, 27886, 19559
Aa en Hunze, 2003, 27886, 19467
Aa en Hunze, 2006, 27886, 19293
Aa en Hunze, 2008, 27886, 19257
Aa en Hunze, 2010, 27886, 19127
Aa en Hunze, 2012, 27888, 19005
Aa en Hunze, 2015, 27888, 18751
Aalburg, 1996, 5313, 4482
Aalburg, 2000, 5313, 4443
Aalburg, 2003, 5313, 4397
Aalburg, 2006, 5313, 4386
Aalburg, 2008, 5313, 4381
Aalburg, 2010, 5313, 4383
Aalburg, 2012, 5317, 4370
Aalburg, 2015, 5317, 4335
Aalsmeer, 1996, 3391, 1133
Aalsmeer, 2000, 3391, 1076
Aalsmeer, 2003, 3224, 1099
Aalsmeer, 2006, 3224, 1013
Aalsmeer, 2008, 3224, 940
Aalsmeer, 2010, 3224, 890
Aalsmeer, 2012, 3229, 821
Aalsmeer, 2015, 3229, 799
Aalten, 1996, 8338, 7094
Aalten, 2000, 8337, 7066
Aalten, 2003, 8337, 7065
Aalten, 2006, 9709, 8097
Aalten, 2008, 9709, 8095
Aalten, 2010, 9709, 8084
Aalten, 2012, 9705, 8091
Aalten, 2015, 9705, 8063
Achtkarspelen, 1996, 10399, 9047
Achtkarspelen, 2000, 10399, 9005
Achtkarspelen, 2003, 10399, 8949
Achtkarspelen, 2006, 10399, 8808
Achtkarspelen, 2008, 10399, 8729
Achtkarspelen, 2010, 10399, 8649
Achtkarspelen, 2012, 10398, 8613
Achtkarspelen, 2015, 10398, 8554
Alblasserdam, 1996, 996, 367
Alblasserdam, 2000, 996, 359
Alblasserdam, 2003, 996, 316
Alblasserdam, 2006, 996, 302
Alblasserdam, 2008, 996, 302
Alblasserdam, 2010, 996, 301
Alblasserdam, 2012, 1006, 299
Alblasserdam, 2015, 1006, 299
Albrandswaard, 1996, 2375, 1454
Albrandswaard, 2000, 2375, 1357
Albrandswaard, 2003, 2375, 1289
Albrandswaard, 2006, 2375, 1107
Albrandswaard, 2008, 2375, 1103
Albrandswaard, 2010, 2375, 1089
Albrandswaard, 2012, 2376, 1063
Albrandswaard, 2015, 2376, 1076
Alkmaar, 1996, 2792, 545
Alkmaar, 2000, 3122, 725
Alkmaar, 2003, 3122, 633
Alkmaar, 2006, 3122, 559
Alkmaar, 2008, 3122, 523
Alkmaar, 2010, 3122, 495
Alkmaar, 2012, 3120, 466
Alkmaar, 2015, 11735, 7829
Almelo, 1996, 3879, 1589
Almelo, 2000, 3964, 1528
Almelo, 2003, 6940, 3793
Almelo, 2006, 6940, 3678
Almelo, 2008, 6940, 3610
Almelo, 2010, 6940, 3588
Almelo, 2012, 6941, 3556
Almelo, 2015, 6941, 3472
Almere, 1996, 24877, 5129
Almere, 2000, 24877, 4374
Almere, 2003, 24877, 3555
Almere, 2006, 24877, 3591
Almere, 2008, 24877, 3486
Almere, 2010, 24877, 3362
Almere, 2012, 24877, 3256
Almere, 2015, 24877, 3241
Alphen aan den Rijn, 1996, 5768, 3703
Alphen aan den Rijn, 2000, 5768, 3670
Alphen aan den Rijn, 2003, 5768, 3582
Alphen aan den Rijn, 2006, 5768, 3586
Alphen aan den Rijn, 2008, 5768, 3586
Alphen aan den Rijn, 2010, 5768, 3550
Alphen aan den Rijn, 2012, 5765, 3555
Alphen aan den Rijn, 2015, 13250, 9223
Alphen-Chaam, 1996, NaN, NaN
Alphen-Chaam, 2000, 9364, 6707
Alphen-Chaam, 2003, 9364, 6692
Alphen-Chaam, 2006, 9364, 6674
Alphen-Chaam, 2008, 9364, 6675
Alphen-Chaam, 2010, 9364, 6659
Alphen-Chaam, 2012, 9352, 6591
Alphen-Chaam, 2015, 9352, 6552
Ameland, 1996, 26850, 2099
Ameland, 2000, 26850, 2059
Ameland, 2003, 26850, 2045
Ameland, 2006, 26850, 2009
Ameland, 2008, 26850, 2025
Ameland, 2010, 26850, 2035
Ameland, 2012, 26850, 2024
Ameland, 2015, 26850, 1975
Amersfoort, 1996, 5665, 2156
Amersfoort, 2000, 6378, 2537
Amersfoort, 2003, 6378, 2414
Amersfoort, 2006, 6378, 2176
Amersfoort, 2008, 6378, 2102
Amersfoort, 2010, 6378, 2024
Amersfoort, 2012, 6386, 1975
Amersfoort, 2015, 6386, 1945
Amstelveen, 1996, 4237, 1935
Amstelveen, 2000, 4237, 1915
Amstelveen, 2003, 4405, 1821
Amstelveen, 2006, 4405, 1790
Amstelveen, 2008, 4405, 1732
Amstelveen, 2010, 4405, 1684
Amstelveen, 2012, 4408, 1601
Amstelveen, 2015, 4408, 1595
Amsterdam, 1996, 21236, 2996
Amsterdam, 2000, 21907, 2946
Amsterdam, 2003, 21907, 2825
Amsterdam, 2006, 21944, 2807
Amsterdam, 2008, 21944, 2822
Amsterdam, 2010, 21944, 2800
Amsterdam, 2012, 21932, 2686
Amsterdam, 2015, 21949, 2711
Apeldoorn, 1996, 34113, 8966
Apeldoorn, 2000, 34113, 8866
Apeldoorn, 2003, 34113, 8761
Apeldoorn, 2006, 34113, 8673
Apeldoorn, 2008, 34113, 8580
Apeldoorn, 2010, 34113, 8503
Apeldoorn, 2012, 34115, 8404
Apeldoorn, 2015, 34115, 8323
Appingedam, 1996, 2462, 1913
Appingedam, 2000, 2462, 1868
Appingedam, 2003, 2462, 1797
Appingedam, 2006, 2462, 1789
Appingedam, 2008, 2462, 1784
Appingedam, 2010, 2462, 1784
Appingedam, 2012, 2458, 1782
Appingedam, 2015, 2458, 1783
Arnhem, 1996, 10153, 2035
Arnhem, 2000, 10153, 1963
Arnhem, 2003, 10153, 1751
Arnhem, 2006, 10153, 1640
Arnhem, 2008, 10153, 1628
Arnhem, 2010, 10153, 1567
Arnhem, 2012, 10154, 1593
Arnhem, 2015, 10154, 1593
Assen, 1996, 5541, 2540
Assen, 2000, 8348, 4645
Assen, 2003, 8348, 4206
Assen, 2006, 8348, 4024
Assen, 2008, 8348, 3945
Assen, 2010, 8348, 3937
Assen, 2012, 8345, 3921
Assen, 2015, 8345, 3874
Asten, 1996, 7037, 4602
Asten, 2000, 7139, 4667
Asten, 2003, 7138, 4676
Asten, 2006, 7138, 4668
Asten, 2008, 7138, 4656
Asten, 2010, 7138, 4658
Asten, 2012, 7134, 4602
Asten, 2015, 7134, 4598
Baarle-Nassau, 1996, 7634, 6420
Baarle-Nassau, 2000, 7630, 6392
Baarle-Nassau, 2003, 7630, 6379
Baarle-Nassau, 2006, 7630, 6375
Baarle-Nassau, 2008, 7630, 6370
Baarle-Nassau, 2010, 7630, 6365
Baarle-Nassau, 2012, 7629, 6332
Baarle-Nassau, 2015, 7629, 6273
Baarn, 1996, 3332, 801
Baarn, 2000, 3303, 771
Baarn, 2003, 3303, 772
Baarn, 2006, 3303, 774
Baarn, 2008, 3303, 769
Baarn, 2010, 3303, 773
Baarn, 2012, 3301, 771
Baarn, 2015, 3301, 762
Barendrecht, 1996, 2172, 1058
Barendrecht, 2000, 2172, 695
Barendrecht, 2003, 2172, 516
Barendrecht, 2006, 2172, 446
Barendrecht, 2008, 2172, 434
Barendrecht, 2010, 2172, 423
Barendrecht, 2012, 2173, 406
Barendrecht, 2015, 2173, 320
Barneveld, 1996, 17675, 10027
Barneveld, 2000, 17674, 9949
Barneveld, 2003, 17674, 9892
Barneveld, 2006, 17674, 9862
Barneveld, 2008, 17674, 9819
Barneveld, 2010, 17674, 9723
Barneveld, 2012, 17669, 9657
Barneveld, 2015, 17666, 9566
Bedum, 1996, 4496, 4018
Bedum, 2000, 4496, 3943
Bedum, 2003, 4496, 3935
Bedum, 2006, 4496, 3912
Bedum, 2008, 4496, 3922
Bedum, 2010, 4496, 3896
Bedum, 2012, 4496, 3894
Bedum, 2015, 4496, 3896
Beek (L.), 1996, 2100, 1407
Beek (L.), 2000, 2100, 1356
Beek (L.), 2003, 2100, 1344
Beek (L.), 2006, 2100, 1332
Beek (L.), 2008, 2100, 1326
Beek (L.), 2010, 2100, 1302
Beek (L.), 2012, 2103, 1287
Beek (L.), 2015, 2103, 1284
Beemster, 1996, 7208, 6551
Beemster, 2000, 7208, 6539
Beemster, 2003, 7208, 6541
Beemster, 2006, 7208, 6524
Beemster, 2008, 7208, 6504
Beemster, 2010, 7208, 6499
Beemster, 2012, 7207, 6502
Beemster, 2015, 7207, 6478
Beesel, 1996, 2920, 2019
Beesel, 2000, 2920, 2007
Beesel, 2003, 2921, 1976
Beesel, 2006, 2921, 1904
Beesel, 2008, 2921, 1902
Beesel, 2010, 2921, 1856
Beesel, 2012, 2915, 1808
Beesel, 2015, 2915, 1814
Bellingwedde, 1996, 11007, 9644
Bellingwedde, 2000, 11007, 9423
Bellingwedde, 2003, 11007, 9334
Bellingwedde, 2006, 11007, 9294
Bellingwedde, 2008, 11007, 9284
Bellingwedde, 2010, 11007, 9442
Bellingwedde, 2012, 11009, 9431
Bellingwedde, 2015, 11009, 9561
Bergeijk, 1996, NaN, NaN
Bergeijk, 2000, 10176, 6293
Bergeijk, 2003, 10179, 6279
Bergeijk, 2006, 10179, 6272
Bergeijk, 2008, 10179, 6261
Bergeijk, 2010, 10179, 6234
Bergeijk, 2012, 10175, 6209
Bergeijk, 2015, 10175, 6168
Bergen (L.), 1996, 10942, 6022
Bergen (L.), 2000, 10942, 6010
Bergen (L.), 2003, 10942, 5989
Bergen (L.), 2006, 10942, 5864
Bergen (L.), 2008, 10942, 5828
Bergen (L.), 2010, 10842, 5721
Bergen (L.), 2012, 10850, 5698
Bergen (L.), 2015, 10850, 5572
Bergen (NH.), 1996, 3722, 1499
Bergen (NH.), 2000, 3722, 1499
Bergen (NH.), 2003, 11983, 4262
Bergen (NH.), 2006, 11983, 4262
Bergen (NH.), 2008, 11983, 4233
Bergen (NH.), 2010, 11983, 4203
